idx,source,target,reasoning,support_text
0,Alice,Kitty,"Alice scolds, kisses, and talks at length to Kitty, the black kitten.","Oh, you wicked little thing! cried Alice, catching up the kitten... Do you know what to-morrow is, Kitty?"
1,Alice,Dinah,Alice reproaches Dinah for not teaching Kitty better manners.,"Really, Dinah ought to have taught you better manners! You ought, Dinah, you know you ought!"
2,Dinah,Kitty,Dinah had washed Kitty’s face earlier that morning.,you squeaked twice while Dinah was washing your face this morning.
3,Dinah,Snowdrop,"Dinah was washing Snowdrop, the white kitten’s, face.",the white kitten had been having its face washed by the old cat for the last quarter of an hour
4,Alice,Snowdrop,Alice mentions Snowdrop while listing Kitty’s faults.,you pulled Snowdrop away by the tail just as I had put down the saucer of milk before her!
5,Kitty,Snowdrop,Kitty pulled Snowdrop by the tail.,you pulled Snowdrop away by the tail
6,Alice,Her Sister,Alice recalls arguing with her sister about pretending to be kings and queens.,She had had quite a long argument with her sister only the day before
7,Alice,Her Nurse,Alice remembers startling her old nurse by shouting in her ear.,"she had really frightened her old nurse by shouting suddenly in her ear, Nurse!"
8,Alice,Red Queen,Alice points out and later handles the Red Queen.,Here are the Red King and the Red Queen... And Alice got the Red Queen off the table
9,Alice,Red King,Alice points out the Red King among the walking chessmen.,Here are the Red King and the Red Queen
10,Alice,White Queen,Alice picks up the White Queen and sets her beside Lily.,she hastily picked up the Queen and set her on the table by the side of her noisy little daughter.
11,Alice,White King,Alice gently picks up and dusts the White King.,So Alice picked him up very gently... and... dusted [him]
12,Red King,Red Queen,They are seen together as a pair among the walking chessmen.,Here are the Red King and the Red Queen
13,White King,White Queen,They sit together and later whisper to each other.,there are the White King and the White Queen... he and the Queen were talking together in a frightened whisper
14,White Queen,Lily,The White Queen rushes to and embraces her daughter Lily.,My precious Lily!... [she] could do nothing but hug the little Lily
15,White King,Lily,Lily and the White King are mentioned in the same moment as the Queen rushes past him to her child.,the White Queen cried out... as she rushed past the King... My precious Lily!
16,Alice,Lily,Alice places the White Queen on the table beside Lily.,set her on the table by the side of her noisy little daughter
17,Kitty,Red Queen,Kitty is set to imitate the Red Queen as a model.,"Let’s pretend that you’re the Red Queen, Kitty!... set it up before the kitten as a model"
18,Red King,White King,The Red King and White King are mentioned together in the same sentence about the chessmen.,Here are the Red King... and there are the White King
19,Red King,White Queen,The Red King and White Queen co-appear in the same sentence describing the chessmen.,Here are the Red King... and there are the... White Queen
20,Red Queen,White King,The Red Queen and White King are mentioned together in the same sentence.,Here are the... Red Queen... and there are the White King
21,Red Queen,White Queen,The Red and White Queens are both named in the same sentence.,Here are the... Red Queen... and there are the... White Queen
22,Alice,White Knight,Alice writes a memorandum that mentions the White Knight.,The White Knight is sliding down the poker. He balances very badly
23,The Father,Beamish Boy,"The father addresses and embraces his son, the beamish boy.","Beware the Jabberwock, my son!... Come to my arms, my beamish boy!... He chortled in his joy."
24,Beamish Boy,Jabberwock,The beamish boy slays the Jabberwock.,"He left it dead, and with its head He went galumphing back."
25,The Father,Jabberwock,The father warns his son to beware the Jabberwock.,"Beware the Jabberwock, my son!"
26,The Father,Jubjub Bird,The father warns about the Jubjub bird.,Beware the Jubjub bird
27,The Father,Bandersnatch,The father tells his son to shun the Bandersnatch.,and shun The frumious Bandersnatch!
28,Jubjub Bird,Bandersnatch,They are mentioned together in the same sentence of the poem.,"Beware the Jubjub bird, and shun The frumious Bandersnatch!"
29,Alice,Tiger-Lily,Alice and Tiger-Lily speak directly to each other in the flower-bed.,"“O Tiger-lily,” said Alice ... “We can talk,” said the Tiger-lily"
30,Alice,Rose,Alice converses with the Rose who comments on her and answers questions.,"“It isn’t manners for us to begin,” said the Rose"
31,Tiger-Lily,Rose,"Tiger-Lily and Rose discuss Alice together, critiquing her 'petals'.","“If only her petals curled up a little more,” said the Tiger-lily ... “you’re beginning to fade,” the Rose added"
32,Alice,A Daisy,Alice exchanges words with a Daisy and threatens to pick them if they don’t be quiet.,"“It says Bough-wough!” cried a Daisy ... “If you don’t hold your tongues, I’ll pick you!”"
33,Alice,Another Daisy,Another Daisy joins the chatter that Alice hushes.,"“cried another Daisy ... she whispered, ‘If you don’t hold your tongues, I’ll pick you!’”"
34,Tiger-Lily,A Daisy,Tiger-Lily rebukes the daisies and orders them to be silent.,"“Silence, every one of you!” cried the Tiger-lily"
35,Tiger-Lily,Another Daisy,Tiger-Lily’s command also targets the other Daisy who is shouting.,"“Silence, every one of you!” ... “they wouldn’t dare to do it!”"
36,Alice,Violet,"A Violet insults Alice directly, startling her.","“I never saw anybody that looked stupider,” a Violet said ... Alice quite jumped"
37,Tiger-Lily,Violet,Tiger-Lily tells the Violet to hold its tongue and mocks it.,“Hold your tongue!” cried the Tiger-lily ... “You keep your head under the leaves”
38,Alice,Larkspur,Larkspur’s warning prompts Alice to look for the approaching figure.,“She’s coming!” cried the Larkspur ... Alice looked round eagerly
39,Larkspur,Red Queen,Larkspur announces the Red Queen’s approach.,“She’s coming!” ... found that it was the Red Queen
